artist,album,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target
Evol Intent,Amazing Friends,Broken Sword,5YJIHyYOLHhxSNXaEQta4c,0,0.351,0.999,1,-3.208,1,0.0874,0.000253,0.835,0.301,0.34,114.711,361693,5,0
Vishal-Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),Bahara,1gwO79MdYdumgIjxq8eCxB,56,0.456,0.739,5,-6.733,1,0.0402,0.0718,7.24e-06,0.134,0.72,85.773,325707,4,1
Pritam,Chhichhore,Khairiyat (Bonus Track),3oM90C4SZLYzVZJEZD5EQk,58,0.606,0.654,0,-5.625,0,0.0365,0.484,1.13e-06,0.152,0.597,124.972,270707,4,1
ILS,Bohemia,Feed The Addiction,23AUyZevDLz3pwkICwIJa0,0,0.585,0.887,1,-6.485,1,0.0422,0.000171,0.813,0.554,0.212,134.884,278280,4,1
Amaal Mallik,M.S.Dhoni - The Untold Story,Phir Kabhi,4jk4CaqBMBbMZhf3PuR1ai,57,0.405,0.665,4,-5.498,1,0.0328,0.614,0,0.525,0.404,81.921,287422,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Legendary Animals,4Bn17nDmkcaBoh4tYrFiag,26,0.455,0.526,9,-12.246,1,0.0449,0.628,0.903,0.154,0.0345,139.937,163948,4,1
Vishal-Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),I Hate Luv Storys,4zUPL2OPTO3hgNhjaA1Rjn,49,0.747,0.81,11,-8.352,0,0.0541,0.0688,0.0405,0.0592,0.937,130.012,285213,4,1
Ajay-Atul,"Sapna Jahan (From ""Brothers"")","Sapna Jahan (From ""Brothers"")",6uQkoo1UGWThtEpNEYc6Ga,53,0.471,0.329,0,-11.958,0,0.0312,0.78,0.0021,0.117,0.144,126.107,341780,4,1
Staind,Break the Cycle,Epiphany,0p7HrbUcy8fl7MaImwevxP,44,0.559,0.487,6,-9.349,1,0.0266,0.0327,0.0814,0.129,0.145,149.961,256133,4,1
Shankar-Ehsaan-Loy,Dil Dhadakne Do,Pehli Baar,39GcR1iJpR2RX629O0zuW5,46,0.734,0.738,9,-4.606,0,0.0368,0.00147,0,0.113,0.813,126.007,263810,4,0
Through Fire,All Animal,Listen To Your Heart,29b2h29UnjjL8jGrDIfEsU,48,0.189,0.878,11,-6.256,0,0.153,1.67e-05,0.00126,0.13,0.379,170.045,215947,4,0
Shankar-Ehsaan-Loy,Wake Up Sid (Original Motion Picture Soundtrack),Life Is Crazy,5gN3uHEvCU4Ui6RBCN1lEA,47,0.638,0.812,2,-5.622,1,0.0392,0.321,2.34e-05,0.282,0.709,139.934,221800,4,1
Shankar-Ehsaan-Loy,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),Rock N Roll Soniye,0W1eHrIACKah9l0Q9v611q,45,0.787,0.871,5,-6.193,0,0.142,0.109,0,0.0426,0.831,94.998,341840,4,0
Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Bulleya,0Bz7dfqPY4JOGZO3O1j8Wh,59,0.552,0.769,2,-4.504,0,0.0465,0.497,0,0.112,0.702,86.957,348966,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),One-Eyed Monster,4KXso8tiAGMx9nM6Hnj47a,28,0.31,0.695,0,-12.317,1,0.0432,0.522,0.896,0.11,0.195,133.582,230052,4,1
The Flight,Assassin's Creed Odyssey (Original Game Soundtrack),Gortyn,0yfF0j6s5S2ZoQLrVCXfP3,25,0.509,0.282,2,-16.153,1,0.0366,0.0394,0.755,0.106,0.0398,120.06,59837,4,1
A.R. Rahman,Rockstar,Phir Se Ud Chala,1kcV2LJxt5v0s2cEGtEJ5i,61,0.647,0.656,11,-8.632,1,0.0354,0.657,0.000163,0.343,0.453,119.965,268833,4,0
